trip,distanceKm,durationMin,config,major,wave,urban,total,crawlSeconds,burdenSumLossSq,burdenPerKm,largestCruiseKmh,largestTroughKmh,largestRecoveryKmh,largestLossPct,largestTimeToTroughS,largestType
calm_highway,36.6,20.0,CurrentDrawdowns_prod,0,0,0,0,0,0,0,,,,,,
calm_highway,36.6,20.0,CurrentStrict,0,0,0,0,0,0,0,,,,,,
calm_highway,36.6,20.0,Balanced,0,0,0,0,0,0,0,,,,,,
calm_highway,36.6,20.0,HighwayWave,0,0,0,0,0,0,0,,,,,,
calm_highway,36.6,20.0,UrbanWave,0,0,0,0,0,0,0,,,,,,
calm_highway,36.6,20.0,Sensitive,0,0,0,0,0,0,0,,,,,,
highway_compression,7.8,4.7,CurrentDrawdowns_prod,0,0,0,0,0,0,0,,,,,,
highway_compression,7.8,4.7,CurrentStrict,0,0,0,0,0,0,0,,,,,,
highway_compression,7.8,4.7,Balanced,0,0,0,0,0,0,0,,,,,,
highway_compression,7.8,4.7,HighwayWave,0,2,0,2,0,2450,313,110,70,105,33,1,TRAFFIC_WAVE
highway_compression,7.8,4.7,UrbanWave,0,0,0,0,0,0,0,,,,,,
highway_compression,7.8,4.7,Sensitive,0,2,0,2,0,2450,313,110,70,105,33,1,TRAFFIC_WAVE
moderate_waves,4.2,2.8,CurrentDrawdowns_prod,0,0,0,0,0,0,0,,,,,,
moderate_waves,4.2,2.8,CurrentStrict,0,0,0,0,0,0,0,,,,,,
moderate_waves,4.2,2.8,Balanced,0,1,0,1,0,1444,341,100,62,95,38,56,TRAFFIC_WAVE
moderate_waves,4.2,2.8,HighwayWave,0,2,0,2,0,1924,455,100,68,92,32,1,TRAFFIC_WAVE
moderate_waves,4.2,2.8,UrbanWave,0,1,0,1,0,1444,341,100,62,95,38,56,TRAFFIC_WAVE
moderate_waves,4.2,2.8,Sensitive,0,2,0,2,0,1924,455,100,68,92,32,1,TRAFFIC_WAVE
urban_arterial,1.2,1.4,CurrentDrawdowns_prod,0,0,0,0,12,0,0,,,,,,
urban_arterial,1.2,1.4,CurrentStrict,0,0,0,0,12,0,0,,,,,,
urban_arterial,1.2,1.4,Balanced,0,0,1,1,12,506,429,58,30,55,43,1,URBAN_INTERRUPTION
urban_arterial,1.2,1.4,HighwayWave,0,0,0,0,12,0,0,,,,,,
urban_arterial,1.2,1.4,UrbanWave,0,0,1,1,12,506,429,58,30,55,43,1,URBAN_INTERRUPTION
urban_arterial,1.2,1.4,Sensitive,0,0,1,1,12,506,429,58,30,55,43,1,URBAN_INTERRUPTION
sustained_crawl,2.6,4.3,CurrentDrawdowns_prod,0,0,0,0,180,0,0,,,,,,
sustained_crawl,2.6,4.3,CurrentStrict,0,0,0,0,180,0,0,,,,,,
sustained_crawl,2.6,4.3,Balanced,0,0,0,0,180,0,0,,,,,,
sustained_crawl,2.6,4.3,HighwayWave,0,0,0,0,180,0,0,,,,,,
sustained_crawl,2.6,4.3,UrbanWave,0,0,0,0,180,0,0,,,,,,
sustained_crawl,2.6,4.3,Sensitive,1,0,0,1,180,2025,772,70,25,55,64,1,MAJOR_FORCED_SLOWDOWN
speedlimit_wave,1.9,1.6,CurrentDrawdowns_prod,0,0,0,0,0,0,0,,,,,,
speedlimit_wave,1.9,1.6,CurrentStrict,0,0,0,0,0,0,0,,,,,,
speedlimit_wave,1.9,1.6,Balanced,0,1,0,1,0,900,480,78,48,76,38,1,TRAFFIC_WAVE
speedlimit_wave,1.9,1.6,HighwayWave,0,1,0,1,0,900,480,78,48,76,38,1,TRAFFIC_WAVE
speedlimit_wave,1.9,1.6,UrbanWave,0,1,0,1,0,900,480,78,48,76,38,1,TRAFFIC_WAVE
speedlimit_wave,1.9,1.6,Sensitive,0,1,0,1,0,900,480,78,48,76,38,1,TRAFFIC_WAVE
stop_and_go_city,1.5,2.7,CurrentDrawdowns_prod,0,0,0,0,60,0,0,,,,,,
stop_and_go_city,1.5,2.7,CurrentStrict,0,0,0,0,60,0,0,,,,,,
stop_and_go_city,1.5,2.7,Balanced,0,0,0,0,60,0,0,,,,,,
stop_and_go_city,1.5,2.7,HighwayWave,0,0,0,0,60,0,0,,,,,,
stop_and_go_city,1.5,2.7,UrbanWave,4,0,0,4,60,6400,4151,50,10,50,80,1,MAJOR_FORCED_SLOWDOWN
stop_and_go_city,1.5,2.7,Sensitive,4,0,0,4,60,6400,4151,50,10,50,80,1,MAJOR_FORCED_SLOWDOWN
calm_city_45,7.5,10.0,CurrentDrawdowns_prod,0,0,0,0,0,0,0,,,,,,
calm_city_45,7.5,10.0,CurrentStrict,0,0,0,0,0,0,0,,,,,,
calm_city_45,7.5,10.0,Balanced,0,0,0,0,0,0,0,,,,,,
calm_city_45,7.5,10.0,HighwayWave,0,0,0,0,0,0,0,,,,,,
calm_city_45,7.5,10.0,UrbanWave,0,0,0,0,0,0,0,,,,,,
calm_city_45,7.5,10.0,Sensitive,0,0,0,0,0,0,0,,,,,,
